==================================================
Results for TC1.txt:
Decimal: 6980368, Binary: 11010101000001100010000, Hexadecimal: 6A8310
Decimal: 6524241, Binary: 11000111000110101010001, Hexadecimal: 638D51
Decimal: 9316072, Binary: 100011100010011011101000, Hexadecimal: 8E26E8
Decimal: 127744, Binary: 11111001100000000, Hexadecimal: 1F300
Decimal: 8388820, Binary: 100000000000000011010100, Hexadecimal: 8000D4
Decimal: 6883557, Binary: 11010010000100011100101, Hexadecimal: 6908E5
Decimal: 2291239, Binary: 1000101111011000100111, Hexadecimal: 22F627
Decimal: 3101270, Binary: 1011110101001001010110, Hexadecimal: 2F5256
Decimal: 1382825, Binary: 101010001100110101001, Hexadecimal: 1519A9
Decimal: 9873376, Binary: 100101101010011111100000, Hexadecimal: 96A7E0
Decimal: 6873500, Binary: 11010001110000110011100, Hexadecimal: 68E19C
Decimal: 8185634, Binary: 11111001110011100100010, Hexadecimal: 7CE722
Decimal: 2464786, Binary: 1001011001110000010010, Hexadecimal: 259C12
Decimal: 8387154, Binary: 11111111111101001010010, Hexadecimal: 7FFA52
Decimal: 5581444, Binary: 10101010010101010000100, Hexadecimal: 552A84
Decimal: 8097911, Binary: 11110111001000001110111, Hexadecimal: 7B9077
Decimal: 8882527, Binary: 100001111000100101011111, Hexadecimal: 87895F
Decimal: 8941444, Binary: 100010000110111110000100, Hexadecimal: 886F84
Decimal: 4942703, Binary: 10010110110101101101111, Hexadecimal: 4B6B6F
Decimal: 101144, Binary: 11000101100011000, Hexadecimal: 18B18
Decimal: 7471180, Binary: 11100100000000001001100, Hexadecimal: 72004C
Decimal: 1932131, Binary: 111010111101101100011, Hexadecimal: 1D7B63
Decimal: 8052752, Binary: 11110101110000000010000, Hexadecimal: 7AE010
Decimal: 6359493, Binary: 11000010000100111000101, Hexadecimal: 6109C5
Decimal: 1967646, Binary: 111100000011000011110, Hexadecimal: 1E061E
Decimal: 6575052, Binary: 11001000101001111001100, Hexadecimal: 6453CC
Decimal: 2323342, Binary: 1000110111001110001110, Hexadecimal: 23738E
Decimal: 6735760, Binary: 11001101100011110010000, Hexadecimal: 66C790
Decimal: 8895858, Binary: 100001111011110101110010, Hexadecimal: 87BD72
Decimal: 4238091, Binary: 10000001010101100001011, Hexadecimal: 40AB0B
Decimal: 7093069, Binary: 11011000011101101001101, Hexadecimal: 6C3B4D
Decimal: 39, Binary: 100111, Hexadecimal: 27

Execution Time: 0.001998 seconds
==================================================

==================================================
Results for TC3.txt:
Decimal: -39, Binary: -100111, Hexadecimal: -27
Decimal: -36, Binary: -100100, Hexadecimal: -24
Decimal: 8, Binary: 1000, Hexadecimal: 8
Decimal: 34, Binary: 100010, Hexadecimal: 22
Decimal: 17, Binary: 10001, Hexadecimal: 11
Decimal: 49, Binary: 110001, Hexadecimal: 31
Decimal: 5, Binary: 101, Hexadecimal: 5
Decimal: 39, Binary: 100111, Hexadecimal: 27
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: -6, Binary: -110, Hexadecimal: -6
Decimal: 27, Binary: 11011, Hexadecimal: 1B
Decimal: -4, Binary: -100, Hexadecimal: -4
Decimal: -38, Binary: -100110, Hexadecimal: -26
Decimal: 26, Binary: 11010, Hexadecimal: 1A
Decimal: 49, Binary: 110001, Hexadecimal: 31
Decimal: 29, Binary: 11101, Hexadecimal: 1D
Decimal: 42, Binary: 101010, Hexadecimal: 2A
Decimal: -16, Binary: -10000, Hexadecimal: -10
Decimal: -28, Binary: -11100, Hexadecimal: -1C
Decimal: 34, Binary: 100010, Hexadecimal: 22
Decimal: 20, Binary: 10100, Hexadecimal: 14
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: 25, Binary: 11001, Hexadecimal: 19
Decimal: 45, Binary: 101101, Hexadecimal: 2D
Decimal: 3, Binary: 11, Hexadecimal: 3
Decimal: -46, Binary: -101110, Hexadecimal: -2E
Decimal: -46, Binary: -101110, Hexadecimal: -2E
Decimal: 29, Binary: 11101, Hexadecimal: 1D
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: 29, Binary: 11101, Hexadecimal: 1D
Decimal: 26, Binary: 11010, Hexadecimal: 1A
Decimal: -5, Binary: -101, Hexadecimal: -5
Decimal: -36, Binary: -100100, Hexadecimal: -24
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: 45, Binary: 101101, Hexadecimal: 2D
Decimal: -50, Binary: -110010, Hexadecimal: -32
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: -6, Binary: -110, Hexadecimal: -6
Decimal: -39, Binary: -100111, Hexadecimal: -27
Decimal: 35, Binary: 100011, Hexadecimal: 23
Decimal: 26, Binary: 11010, Hexadecimal: 1A
Decimal: -35, Binary: -100011, Hexadecimal: -23
Decimal: -42, Binary: -101010, Hexadecimal: -2A
Decimal: 14, Binary: 1110, Hexadecimal: E
Decimal: -3, Binary: -11, Hexadecimal: -3
Decimal: 22, Binary: 10110, Hexadecimal: 16
Decimal: -47, Binary: -101111, Hexadecimal: -2F
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: -17, Binary: -10001, Hexadecimal: -11
Decimal: -31, Binary: -11111, Hexadecimal: -1F
Decimal: -25, Binary: -11001, Hexadecimal: -19
Decimal: -35, Binary: -100011, Hexadecimal: -23
Decimal: -18, Binary: -10010, Hexadecimal: -12
Decimal: 14, Binary: 1110, Hexadecimal: E
Decimal: 37, Binary: 100101, Hexadecimal: 25
Decimal: -8, Binary: -1000, Hexadecimal: -8
Decimal: -41, Binary: -101001, Hexadecimal: -29
Decimal: -50, Binary: -110010, Hexadecimal: -32
Decimal: -9, Binary: -1001, Hexadecimal: -9
Decimal: 2, Binary: 10, Hexadecimal: 2
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: -39, Binary: -100111, Hexadecimal: -27
Decimal: -17, Binary: -10001, Hexadecimal: -11
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: 27, Binary: 11011, Hexadecimal: 1B
Decimal: 28, Binary: 11100, Hexadecimal: 1C
Decimal: 45, Binary: 101101, Hexadecimal: 2D
Decimal: -44, Binary: -101100, Hexadecimal: -2C
Decimal: 28, Binary: 11100, Hexadecimal: 1C
Decimal: 35, Binary: 100011, Hexadecimal: 23
Decimal: -33, Binary: -100001, Hexadecimal: -21
Decimal: 43, Binary: 101011, Hexadecimal: 2B
Decimal: -4, Binary: -100, Hexadecimal: -4
Decimal: 23, Binary: 10111, Hexadecimal: 17
Decimal: -49, Binary: -110001, Hexadecimal: -31
Decimal: 49, Binary: 110001, Hexadecimal: 31
Decimal: -7, Binary: -111, Hexadecimal: -7
Decimal: -38, Binary: -100110, Hexadecimal: -26
Decimal: -45, Binary: -101101, Hexadecimal: -2D
Decimal: 5, Binary: 101, Hexadecimal: 5
Decimal: -21, Binary: -10101, Hexadecimal: -15
Decimal: 26, Binary: 11010, Hexadecimal: 1A
Decimal: -2, Binary: -10, Hexadecimal: -2
Decimal: -24, Binary: -11000, Hexadecimal: -18
Decimal: 6, Binary: 110, Hexadecimal: 6
Decimal: -45, Binary: -101101, Hexadecimal: -2D
Decimal: -4, Binary: -100, Hexadecimal: -4
Decimal: 15, Binary: 1111, Hexadecimal: F
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: -17, Binary: -10001, Hexadecimal: -11
Decimal: -35, Binary: -100011, Hexadecimal: -23
Decimal: 43, Binary: 101011, Hexadecimal: 2B
Decimal: 45, Binary: 101101, Hexadecimal: 2D
Decimal: -35, Binary: -100011, Hexadecimal: -23
Decimal: -8, Binary: -1000, Hexadecimal: -8
Decimal: 28, Binary: 11100, Hexadecimal: 1C
Decimal: 47, Binary: 101111, Hexadecimal: 2F
Decimal: 34, Binary: 100010, Hexadecimal: 22
Decimal: -24, Binary: -11000, Hexadecimal: -18
Decimal: -42, Binary: -101010, Hexadecimal: -2A
Decimal: -13, Binary: -1101, Hexadecimal: -D
Decimal: 14, Binary: 1110, Hexadecimal: E
Decimal: -45, Binary: -101101, Hexadecimal: -2D
Decimal: -35, Binary: -100011, Hexadecimal: -23
Decimal: 27, Binary: 11011, Hexadecimal: 1B
Decimal: -12, Binary: -1100, Hexadecimal: -C
Decimal: -19, Binary: -10011, Hexadecimal: -13
Decimal: -20, Binary: -10100, Hexadecimal: -14
Decimal: -14, Binary: -1110, Hexadecimal: -E
Decimal: 20, Binary: 10100, Hexadecimal: 14
Decimal: 30, Binary: 11110, Hexadecimal: 1E
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: -36, Binary: -100100, Hexadecimal: -24
Decimal: -47, Binary: -101111, Hexadecimal: -2F
Decimal: -27, Binary: -11011, Hexadecimal: -1B
Decimal: -3, Binary: -11, Hexadecimal: -3
Decimal: 6, Binary: 110, Hexadecimal: 6
Decimal: 36, Binary: 100100, Hexadecimal: 24
Decimal: 9, Binary: 1001, Hexadecimal: 9
Decimal: -16, Binary: -10000, Hexadecimal: -10
Decimal: 36, Binary: 100100, Hexadecimal: 24
Decimal: -27, Binary: -11011, Hexadecimal: -1B
Decimal: 7, Binary: 111, Hexadecimal: 7
Decimal: -6, Binary: -110, Hexadecimal: -6
Decimal: -5, Binary: -101, Hexadecimal: -5
Decimal: 5, Binary: 101, Hexadecimal: 5
Decimal: 47, Binary: 101111, Hexadecimal: 2F
Decimal: 23, Binary: 10111, Hexadecimal: 17
Decimal: -48, Binary: -110000, Hexadecimal: -30
Decimal: -24, Binary: -11000, Hexadecimal: -18
Decimal: 40, Binary: 101000, Hexadecimal: 28
Decimal: -4, Binary: -100, Hexadecimal: -4
Decimal: -18, Binary: -10010, Hexadecimal: -12
Decimal: -19, Binary: -10011, Hexadecimal: -13
Decimal: 14, Binary: 1110, Hexadecimal: E
Decimal: 15, Binary: 1111, Hexadecimal: F
Decimal: 1, Binary: 1, Hexadecimal: 1
Decimal: 24, Binary: 11000, Hexadecimal: 18
Decimal: -9, Binary: -1001, Hexadecimal: -9
Decimal: -50, Binary: -110010, Hexadecimal: -32
Decimal: 18, Binary: 10010, Hexadecimal: 12
Decimal: 15, Binary: 1111, Hexadecimal: F
Decimal: 30, Binary: 11110, Hexadecimal: 1E
Decimal: 44, Binary: 101100, Hexadecimal: 2C
Decimal: 9, Binary: 1001, Hexadecimal: 9
Decimal: 19, Binary: 10011, Hexadecimal: 13
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: 41, Binary: 101001, Hexadecimal: 29
Decimal: -24, Binary: -11000, Hexadecimal: -18
Decimal: 43, Binary: 101011, Hexadecimal: 2B
Decimal: 48, Binary: 110000, Hexadecimal: 30
Decimal: -23, Binary: -10111, Hexadecimal: -17
Decimal: 7, Binary: 111, Hexadecimal: 7
Decimal: 28, Binary: 11100, Hexadecimal: 1C
Decimal: 8, Binary: 1000, Hexadecimal: 8
Decimal: -2, Binary: -10, Hexadecimal: -2
Decimal: 37, Binary: 100101, Hexadecimal: 25
Decimal: 42, Binary: 101010, Hexadecimal: 2A
Decimal: -17, Binary: -10001, Hexadecimal: -11
Decimal: -6, Binary: -110, Hexadecimal: -6
Decimal: 36, Binary: 100100, Hexadecimal: 24
Decimal: 22, Binary: 10110, Hexadecimal: 16
Decimal: 27, Binary: 11011, Hexadecimal: 1B
Decimal: 31, Binary: 11111, Hexadecimal: 1F
Decimal: -47, Binary: -101111, Hexadecimal: -2F
Decimal: -43, Binary: -101011, Hexadecimal: -2B
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: 27, Binary: 11011, Hexadecimal: 1B
Decimal: 30, Binary: 11110, Hexadecimal: 1E
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: -15, Binary: -1111, Hexadecimal: -F
Decimal: -19, Binary: -10011, Hexadecimal: -13
Decimal: -42, Binary: -101010, Hexadecimal: -2A
Decimal: -37, Binary: -100101, Hexadecimal: -25
Decimal: 31, Binary: 11111, Hexadecimal: 1F
Decimal: -10, Binary: -1010, Hexadecimal: -A
Decimal: 18, Binary: 10010, Hexadecimal: 12
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: -15, Binary: -1111, Hexadecimal: -F
Decimal: 17, Binary: 10001, Hexadecimal: 11
Decimal: 25, Binary: 11001, Hexadecimal: 19
Decimal: -25, Binary: -11001, Hexadecimal: -19
Decimal: -5, Binary: -101, Hexadecimal: -5
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: -13, Binary: -1101, Hexadecimal: -D
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: -10, Binary: -1010, Hexadecimal: -A
Decimal: 47, Binary: 101111, Hexadecimal: 2F
Decimal: 47, Binary: 101111, Hexadecimal: 2F
Decimal: -13, Binary: -1101, Hexadecimal: -D
Decimal: -32, Binary: -100000, Hexadecimal: -20
Decimal: 1, Binary: 1, Hexadecimal: 1
Decimal: 1, Binary: 1, Hexadecimal: 1
Decimal: -25, Binary: -11001, Hexadecimal: -19
Decimal: -33, Binary: -100001, Hexadecimal: -21
Decimal: 16, Binary: 10000, Hexadecimal: 10
Decimal: 17, Binary: 10001, Hexadecimal: 11
Decimal: 4, Binary: 100, Hexadecimal: 4

Execution Time: 0.001000 seconds
==================================================

==================================================
Results for TC4.txt:
Decimal: -39, Binary: -100111, Hexadecimal: -27
Decimal: -36, Binary: -100100, Hexadecimal: -24
Decimal: 8, Binary: 1000, Hexadecimal: 8
Decimal: 34, Binary: 100010, Hexadecimal: 22
Decimal: 17, Binary: 10001, Hexadecimal: 11
Decimal: 49, Binary: 110001, Hexadecimal: 31
Decimal: 5, Binary: 101, Hexadecimal: 5
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: -6, Binary: -110, Hexadecimal: -6
Decimal: 27, Binary: 11011, Hexadecimal: 1B
Decimal: -4, Binary: -100, Hexadecimal: -4
Decimal: -38, Binary: -100110, Hexadecimal: -26
Decimal: 26, Binary: 11010, Hexadecimal: 1A
Decimal: 49, Binary: 110001, Hexadecimal: 31
Decimal: 29, Binary: 11101, Hexadecimal: 1D
Decimal: 42, Binary: 101010, Hexadecimal: 2A
Decimal: -16, Binary: -10000, Hexadecimal: -10
Decimal: 34, Binary: 100010, Hexadecimal: 22
Decimal: 20, Binary: 10100, Hexadecimal: 14
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: 25, Binary: 11001, Hexadecimal: 19
Decimal: 45, Binary: 101101, Hexadecimal: 2D
Decimal: 3, Binary: 11, Hexadecimal: 3
Decimal: -46, Binary: -101110, Hexadecimal: -2E
Decimal: -46, Binary: -101110, Hexadecimal: -2E
Decimal: 29, Binary: 11101, Hexadecimal: 1D
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: 29, Binary: 11101, Hexadecimal: 1D
Decimal: 26, Binary: 11010, Hexadecimal: 1A
Decimal: -5, Binary: -101, Hexadecimal: -5
Decimal: -36, Binary: -100100, Hexadecimal: -24
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: 45, Binary: 101101, Hexadecimal: 2D
Decimal: -50, Binary: -110010, Hexadecimal: -32
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: -6, Binary: -110, Hexadecimal: -6

Invalid Entries:
Invalid: ABC
Invalid: ERR
Invalid: VAL

Execution Time: 0.001001 seconds
==================================================

